Original String,Key,Encrypted String,Encryption Name
banana iguana cat jaguar,BFWTEimtLeWdvzuI,b'1\xb70!\x0b\xcaIw+\xdb\x8a\xcf\x00\x19\x87\xb0\x1b\xc3s\xb5\xb0\xe6\xb8;\x9c\xb1\x9f\xb6M\x19\xe7\x02',AES
banana iguana cat jaguar,BFWTEimtLeWdvzuI,"b""\x8e<\xdd\xf6\xb7\xdb\xe6\xb7+\xa1\xc6\xd5/\xba\x18'\xe2\x16H\xea\xbf\xa1\xe8yr\xaan\x1d,\xed\xe3\x96""",DES
banana iguana cat jaguar,BFWTEimtLeWdvzuI,b'\x14\xbf\xa1L\xb3\xcd\xa0\xab\xf2Q\xbe;\xc6\x1ex\xdd\x06\x82b\xce2\x18\x84r',ARC4
iguana gorilla gorilla jaguar banana banana,uzUKjfoPzeDDdJOO,b'\x1a\xe6\xaa\xf4Fq\x81\xd5\xd1J\xff\x88R\xa6A\x1b\x15^B\x9b\x19\x830\xc5\xa0\xd6\x048S\xce\x90L\x86\x1f_\xbe\xee&G{ R%d\xe9\x9d\x94v',AES
iguana gorilla gorilla jaguar banana banana,uzUKjfoPzeDDdJOO,"b""\xb5\xda\x96+F\xdd\x19T\x08\xceE\xe1\xb7\x94\xd4\x02\xc6\xa3\x9e\x7f\xbe\x99\xdar\xd5\x1e\xed\x1a\xd8\xbb\x81\x07\xc0~\xab\xc3\x1b\x85\x93q\x19\xa2\xaf\x00'\x86\x16\xcc""",DES
iguana gorilla gorilla jaguar banana banana,uzUKjfoPzeDDdJOO,b'DP\xc61\x1c\x08+\x12\xfe\xc0\x03.J\n\xd1\xa8)4\xae|\x1a \x1a\xc0\xf8\x023vJWd\xab|\xf1\xe5\xbe8\xccZ\x9b|\xd3\xfc',ARC4
banana horse banana gorilla cat gorilla,TJfjmhZgiKojWEyu,b'\xad\xc29`\xa6D\xb8\rK\xa2\xfb|\xf7S\xe3\xebWz\x12\x88tT\xa3*\xe8G{c\xa3\x10JX\x13|\xf2&*\x1dB\xf0\xa2\xc9<\xfd\xb3\xc1\xae\xad',AES
banana horse banana gorilla cat gorilla,TJfjmhZgiKojWEyu,b'+\xeb\x04]\x99q\xdb\x0e\xe4\x0bD\xa0GZ0k\x04\xef\n\xf1\xc2\xa8?e\xa4\xca\xe7\xa0@\xb9^T\x1d\xa0J6\xcf]\xb6\x1f',DES
banana horse banana gorilla cat gorilla,TJfjmhZgiKojWEyu,b'@\x9b\x0eo\xd6A8\x88M\x85A\x9f5@q\x899M*\x8al>\xa12W\xb4\x05\xfd]\xcf\xe1\xff\x15\x1bhw<\xc5\x10',ARC4
banana elephant dog apple gorilla dog banana,mwPEaSXlJvCBgXFw,b'\x98\xf3\xfb/\x0f\x11\xef\xc4\xb00\xe0\xe1\xa1\x93\x0b}E\xa4\x16v\xbbn0\xb4vS\x87\xfc9m4\xd8L\xe4\xe0\xc6r\xd8\xe2\x80\x94|\xef\xc4\x16n\x02\xef',AES
banana elephant dog apple gorilla dog banana,mwPEaSXlJvCBgXFw,b'P@m\x05g=~?\xcb\x826T\xa3<Zm\xf7\xe1\xe7\x9e\x9e\xebx\xdfi\x9aD:\xac^\xd2\xa2\x8d\xc3\x006\xcb\xfcV3Dn\xc4>\n4\x8a\xd8',DES
